average days of outages per customer,Customers,fips_code,county,state
12.866436072054766,418,29227,Worth,Missouri
9.646517072851992,3423,26027,Cass,Michigan
6.978226925467858,6050,26001,Alcona,Michigan
5.461619356231457,10545,26063,Huron,Michigan
5.41775679504465,9284,55125,Vilas,Wisconsin
4.652928217227136,12805,26021,Berrien,Michigan
4.3120832881305216,11681,26129,Ogemaw,Michigan
4.249233128096117,12246,29145,Newton,Missouri
3.7639732936219215,1600,29087,Holt,Missouri
3.609806631734874,18061,26035,Clare,Michigan
3.5355708236243926,1088,29075,Gentry,Missouri
3.4893688624663914,5044,26135,Oscoda,Michigan
3.477294726282391,9864,26011,Arenac,Michigan
3.395486417854233,441528,26163,Wayne,Michigan
3.274048965073496,13780,26143,Roscommon,Michigan
3.2648409520878747,3774,29003,Andrew,Missouri
3.2545495139473477,9559,26113,Missaukee,Michigan
3.2474807234737972,15201,26051,Gladwin,Michigan
3.1671794111728517,9226,26085,Lake,Michigan
3.1661057940711816,19440,26149,St. Joseph,Michigan
3.009410410777088,6073,26119,Montmorency,Michigan
2.967636829133766,12899,26151,Sanilac,Michigan
2.9146949102895503,47260,26115,Monroe,Michigan
2.780244724453485,8218,26039,Crawford,Michigan
2.497297050592604,37176,39087,Lawrence,Ohio
2.4940318380671003,4120,29011,Barton,Missouri
2.4842706613814936,12357,26089,Leelanau,Michigan
2.4717521401991465,14310,26069,Iosco,Michigan
2.438522271375526,5816,29209,Stone,Missouri
2.4231532016418065,15641,26009,Antrim,Michigan
2.3154364946438415,3417,19073,Greene,Iowa
2.3099622794538095,1356,26083,Keweenaw,Michigan
2.269588916410071,30914,26059,Hillsdale,Michigan
2.252543174281572,30687,26023,Branch,Michigan
2.2154090945202523,2620,29005,Atchison,Missouri
2.135735117835024,4092,19025,Calhoun,Iowa
2.1280006609087065,18916,26159,Van Buren,Michigan
2.1262771195617525,5708,17173,Shelby,Illinois
2.1133114882924233,15797,55069,Lincoln,Wisconsin
2.068369665604048,4260,55078,Menominee,Wisconsin
2.048887570282359,5584,29217,Vernon,Missouri
2.026786591963667,20608,26107,Mecosta,Michigan
1.985580166727898,4024,29179,Reynolds,Missouri
1.8990522623749728,8757,26097,Mackinac,Michigan
1.8639313445239167,10279,26079,Kalkaska,Michigan
1.8586614352288011,6340,55041,Forest,Wisconsin
1.8085148499843986,22258,55085,Oneida,Wisconsin
1.8005149720161422,5611,26153,Schoolcraft,Michigan
1.7861652776315007,5890,26071,Iron,Michigan
1.7734596115675116,7394,26053,Gogebic,Michigan
1.7510792704877567,16118,26031,Cheboygan,Michigan
1.7389593300904216,5206,29173,Ralls,Missouri
1.7361410485406161,5492,29147,Nodaway,Missouri
1.7263599577989857,646293,26125,Oakland,Michigan
1.713060828263726,18272,26133,Osceola,Michigan
1.7037453356212924,2123,55051,Iron,Wisconsin
1.693632453936639,2501,17155,Putnam,Illinois
1.6818035904751314,9545,26019,Benzie,Michigan
1.6664769992861637,1563,29199,Scotland,Missouri
1.6614036926730444,71469,26147,St. Clair,Michigan
1.639710874861923,2603,29041,Chariton,Missouri
1.6218271083160944,16639,26157,Tuscola,Michigan
1.6041892100353397,4537,18025,Crawford,Indiana
1.6039479645858192,106898,29510,St. Louis,Missouri
1.5951372388001015,88113,26093,Livingston,Michigan
1.5840140539123277,7184,18013,Brown,Indiana
1.5806822644120513,2289,19195,Worth,Iowa
1.5709135859740975,32058,26123,Newaygo,Michigan
1.562411011998532,1865,17013,Calhoun,Illinois
1.5538293629404336,8116,29177,Ray,Missouri
1.5407813441013083,4000,29153,Ozark,Missouri
1.5382337534653756,5608,18045,Fountain,Indiana
1.5307565474394658,6221,29083,Henry,Missouri
1.52475587135373,5897,29017,Bollinger,Missouri
1.515664643270667,2842,55037,Florence,Wisconsin
1.5145508357359314,2972,29085,Hickory,Missouri
1.4629694958092267,3381,17071,Henderson,Illinois
1.4508725676345537,1531,29197,Schuyler,Missouri
