district_name,p1_001n,vallas,johnson,lightfoot,garcia,school_age_public,wilson,total_cvap,percent_white_cvap,percent_black_cvap,percent_latino_cvap,percent_asian_cvap
"District A
",137753.0,19153.603926862,7909.23528337277,3983.05558750568,3727.81316261299,8285.30303134155,746.391916600998,107094.019030536,0.79926040006952,0.0396148109314786,0.0768850752607947,0.0577630752214003
"District B
",137142.0,26810.5244344937,4189.13725506282,2398.60079632644,3783.26055925868,16325.8511641032,3267.24708577683,106330.992188787,0.725619603631158,0.0188260554758579,0.164557285357569,0.0712634185236672
"District C
",137450.0,5365.05101992776,5066.94936904712,6678.08086880786,1554.46454194221,13430.8989287593,3554.9164974462,99246.9397223159,0.252601116460041,0.628897390176266,0.0440668882172009,0.0505273208392298
"District D
",137831.0,8291.88028375249,7328.22491544075,3522.73699409875,3397.09121968408,16563.9309217593,1522.69998568937,86827.0123664295,0.518839020410721,0.16978582982426,0.161053132570215,0.11314907333712
"District E
",137453.0,6020.98173194543,8691.23377621404,2090.89876956218,5458.8891192403,18368.9604086133,1172.56191846592,89212.518269533,0.416263459068803,0.0413003784504283,0.460497606289103,0.0603561067684739
"District F
",137859.0,5015.97211286418,4471.33307656625,9082.79169654372,3745.46572647097,22567.8506956881,4870.03559455049,102646.796394817,0.0797871991837455,0.705151683726185,0.205674737414083,0.00254115948589773
"District G
",137285.0,9044.15007936364,14872.9509722724,4135.273577409,5124.47292868212,10730.3642856645,1079.22709144194,103692.069506742,0.635381041950471,0.076735593028273,0.158996435155273,0.097628715152239
"District H
",137653.0,12701.8531384095,12835.5795964094,4937.37428498991,4170.63693258296,7227.25400208489,1150.01684635528,111300.047560566,0.715163747729111,0.0954715710600723,0.0931624337505851,0.0691304723581281
"District I
",136517.0,3142.09427418482,3708.11464056034,9222.98288692213,1014.00793835469,17925.9842997936,5592.33917988859,95994.9339779485,0.0406810298452577,0.894732968091554,0.0443831677759701,0.00689664529911548
"District J
",136744.0,3049.00731407326,6964.06940498797,8749.47418095759,1774.33021951586,15154.0220229526,4010.05870805059,101309.693797827,0.148775945049381,0.765710372557908,0.0366026142753862,0.022483014748712
"District K
",137089.0,3983.14204013611,7478.62222023656,2044.90178643299,4930.48374621553,20768.9936019798,1291.55484282183,87206.4365118452,0.315863714726395,0.152506016143621,0.492896226336424,0.0278382960220274
"District L
",137307.0,12420.3933720325,5598.62406685368,2306.69419371901,5319.92481686707,17653.0721665278,2202.35019193256,91018.3424292458,0.533250842464774,0.0358913616650028,0.350231650034361,0.0664095836841276
"District M
",137671.0,12498.2196179108,2465.2806729809,3155.36485460648,6441.5322404392,22609.1613604095,3054.53461326545,91029.9418184993,0.288386544574455,0.218819201240028,0.472460429790344,0.00769260588417284
"District N
",137143.0,6993.03398100196,2381.57466437358,812.379462321868,6079.74245002998,20891.8751706931,1036.01512318655,73949.2614374868,0.220310701622125,0.023332942453746,0.538945443402573,0.210160125215975
"District O
",136730.0,3767.68969441108,5061.72681241271,7353.79682998412,2013.97194629731,19491.8173715222,3786.37711172208,97504.7891416476,0.165908536526903,0.651254291071064,0.161347558303344,0.0135517986082255
"District P
",137242.0,5453.40894232872,2781.23769053499,1994.38283095232,4724.24066167826,17424.2794403079,1211.97062184827,75242.297914782,0.264227968819858,0.184463636451581,0.466696999828916,0.0763648326021123
"District Q
",137064.0,3239.93178598541,3629.32318102383,1717.12991438461,6413.76032160344,16525.4648389823,1292.7468817726,81271.9143122241,0.234275840683876,0.192914049754081,0.512182603578422,0.04839571180089
"District R
",137078.0,5493.76586751094,4837.73841569365,5699.30940697648,1900.37616039862,16383.3452263179,3205.79946674004,97663.0724583865,0.298115283217067,0.542165773016678,0.0935723528014421,0.045369071954815
"District S
",137510.0,15768.3173312552,5475.45401204804,10755.7295677919,2232.49669380435,18474.5658132092,6150.88259774231,112368.59644999,0.259192116943787,0.679315918322487,0.0410463538414626,0.00487685310334337
"District T
",137867.0,16775.9790515506,5693.5899739082,3723.04150970694,2959.03861432137,3100.00524929024,1042.27372470213,108076.324710391,0.746734430224308,0.0723687823907101,0.0687338028224648,0.091922888599086
