Fat,Variety or Processing,"Viscosity
mm^2/s @ 40 C
ASTM-D 445, ASTM-D 88","Density
kg/l @ 15.6 C
ASTM-D 1298","Density
kg/l @ 25 C","Surface Tension
dynes/cm
ASTM-D 971","Net Calorific Value
MJ/kg","Gross Calorific Value
MJ/kg
ASTM-D 270","Cetane
ASTM-D 613, ASTM-D 976","Cold filter clogging point
C
ASTM-EN 116, IP 309","Pour Point
C
ASTM-D 97","Cloud Point
C
ASTM-D 2500","Flash Point
C
ASTM-D 93","Fire point
C",Auto-Ignition point,"Initial Boiling Point, 0.1% evaporated
C
ASTM-D 86","Final Boiling Point, 99.5% evaporated
C
ASTM-D 86","Carbon residue
% weight
ASTM-D 189, ASTM-D 524","Ash
% in weight
ASTM-D 482","Particulate Matter
mg/100 ml","Sediment content by the extraction method
% volume
ASTM-D 473","Insoluble impurities
% weight
AOCS Method Ca 3a-46","Unsaponifiable matter
% weight
AOCS Method Ca 6a-40","Water by Karl-Fischer
% weight
ASTM-D 1744","Water and sediment content
% weight
ASTM-D 1796","Moisture and volatiles by hotplate
% weight
AOCS Method Ca 2b-38","Moisture, Volatiles, Insolubles, and Unsaponifiables
% weight","Free Fatty Acid
% Weight as Oleic acid","Acid Value
mg KOH/g","Iodine value
g I/100g oil",Saturation Level,"Peroxide number
ppm Oxygen","Oxidation stability
mg/100ml
ASTM-D 2274","Jet Fuel Thermal Oxidation Test rating
ASTM-D 3241",Induction Period,"Copper Corrosion Rating
ASTM-D 130","Saponification value
mg KOH/g oil","Carbon
% weight","Hydrogen
% weight","Oxygen
% weight","Sulfur
% weight
ASTM-D 1266, ASTM-D 129, IP 336","Nitrogen
% weight","Phosphorus
% weight
AOCS Method Ca 12-55","Phosphorus
PPM",Stochiometric air:fuel,Source
Soybean,Alkali-refined,,,0.922,,,38.9,,,,,269,,,,,,0.002,,,,,,,,,0.2,,109,,6,,,,,189,,,,,,0,,,"Engler, 1983"
Sunflower,Crude,,,0.918,,,39.6,,,,,255,,,,,,0.01,,,,,,,,,1.3,,130,,12,,,,,197,,,,,,0.46,,,"Engler, 1983"
Sunflower,Degummed,,,0.92,,,39.3,,,,,257,,,,,,0.01,,,,,,,,,1.5,,128,,14,,,,,201,,,,,,0.07,,,"Engler, 1983"
Sunflower,Dewaxed,,,0.92,,,38.8,,,,,262,,,,,,0.01,,,,,,,,,1.5,,130,,17,,,,,208,,,,,,0.05,,,"Engler, 1983"
Soybean,Degummed,,,0.918,,,39,,,,,153,,,,,,0.01,,,,,,,,,6.1,,109,,4,,,,,190,,,,,,0.14,,,"Engler, 1983"
Soybean,Crude,,,0.921,,,38.8,,,,,229,,,,,,0.2,,,,,,,,,6.2,,110,,11,,,,,192,,,,,,0.97,,,"Engler, 1983"
Ricebran,,,0.935,,,38.952,,30,,,,200,,,,,,,,,,,,0.3,,,7,,,,,,,,,,,,,,,,,,"Raja, 2004"
Soybean,Degummed,51.7,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams, 1983"
Soybean,Salad oil,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams, 1983"
Soybean,Once-refined,,,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams, 1983"
Corn,,,0.915,,,,,37.6,,,,270-295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altin, 2001"
Cottonseed,Crude,,0.912,,,39.648,,48.1,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altin, 2001"
Opium poppy,,,0.921,,,38.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altin, 2001"
Rapeseed,,,0.914,,,37.62,,37.6,,,,275-290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altin, 2001"
Soybean,Crude,,0.914,,,39.623,,37.9,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altin, 2001"
Sunflower,Crude,,0.918,,,39.525,,37.1,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altin, 2001"
Castor,,,,,,39.5,,,,-31.7,,260,,,,,,,,,,,,,,,,,82-88,,,,,,,,,,,,,,,,"Babu, 2003"
Coconut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/12/2009,,,,,,,,,,,,,,,,"Babu, 2003"
Corn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.-140,,,,,,,,,,,,,,,,"Babu, 2003"
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90-140,,,,,,,,,,,,,,,,"Babu, 2003"
Crambe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,"Babu, 2003"
Honne,,,,,,33.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babu, 2003"
Jatropha,,,,,,39.774,,40-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babu, 2003"
Karanja,,,,,,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babu, 2003"
Linseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168-204,,,,,,,,,,,,,,,,"Babu, 2003"
Mahua,,,,,,30.248,,45,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babu, 2003"
Neem,,,,,,39.399,,47,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Babu, 2003"
Olive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75-94,,,,,,,,,,,,,,,,"Babu, 2003"
Palm,,,,,,36.553,,42,,,27,,,,,,,,,,,,,,,,,,35-61,,,,,,,,,,,,,,,,"Babu, 2003"
Peanut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80-106,,,,,,,,,,,,,,,,"Babu, 2003"
Rapeseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94-120,,,,,,,,,,,,,,,,"Babu, 2003"
Safflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126-152,,,,,,,,,,,,,,,,"Babu, 2003"
Sesame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104-120,,,,,,,,,,,,,,,,"Babu, 2003"
Sunflower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110-143,,,,,,,,,,,,,,,,"Babu, 2003"
Canola,,39,0.92,,,,39.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Cottonseed,,71.9,0.923,,,,43.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Neem,,140.3,0.922,,,,41.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Peanut ,,56.8,0.918,,,,38.79,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Rapeseed,,51,0.91,,,,39.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Safflower,Linoleic,32.3,0.93,,,,39.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Safflower,Oleic,42.1,0.92,,,,39.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Soybean,,44.6,0.923,,,,40.9,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Stillingia,,40,0.91,,,,39.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Sunflower,,34.9,0.92,,,,39.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Tallow seed,,35,0.882,,,,39.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhattacharyya, 1994"
Animal Fat,From rendering plant,,,,,,,,,,,,,,,,,,,,0.11,2.63,,,0.11,2.85,25.7,,,,<.2,,,,,,,,,,,,,,"Canakci, 2005"
Brown Grease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.03,,,,,,,,,,,,,,,"Canakci, 2005"
Restaurant grease,Processed mixed with unprocessed,,,,,,,,,,,,,,,,,,,,1.03,0.99,,,0.35,2.37,10.5,,,,1,,,,,,,,,,,,,,"Canakci, 2005"
Lard ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41-50,,,,,,,,,,,,,,,"Canakci, 2005"
Yellow grease,,,,,,,,,,,,,,,,,,,,,3.83,2.53,,,0.26,6.42,25.5,,,,<.2,,,,,,,,,,,,,,"Canakci, 2005"
Restaurant grease,Processed,,,,,,,,,,,,,,,,,,,,0.09,0.34,,,3.11,3.54,2.6,,,,3.7,,,,,,,,,,,,,,"Canakci, 2005"
Restaurant grease,Boiled,,,,,,,,,,,,,,,,,,,,<.1,0.43,,,0.31,0.74,9.7,,,,4,,,,,,,,,,,,,,"Canakci, 2005"
Restaurant grease,Unprocessed,,,,,,,,,,,,,,,,,,,,0.03,0.42,,,1.26,1.71,0.7,,,,4.6,,,,,,,,,,,,,,"Canakci, 2005"
Restaurant grease,Unprocessed,,,,,,,,,,,,,,,,,,,,0.03,0.38,,,0.65,1.06,1.3,,,,3.1,,,,,,,,,,,,,,"Canakci, 2005"
Restaurant grease,Unprocessed,,,,,,,,,,,,,,,,,,,,0.08,0.47,,,1.42,1.97,0.7,,,,1.7,,,,,,,,,,,,,,"Canakci, 2005"
Restaurant grease,Unprocessed,,,,,,,,,,,,,,,,,,,,1.22,4.83,,,18.06,24.11,41.8,,,,0.8,,,,,,,,,,,,,,"Canakci, 2005"
Restaurant grease,Unprocessed,,,,,,,,,,,,,,,,,,,,0.11,0.52,,,0.35,0.98,1.1,,,,3.4,,,,,,,,,,,,,,"Canakci, 2005"
Restaurant grease,Solids and free water removed,,,,,,,,,,,,,,,,,,,,2.51,0.25,,,55.38,58.14,14.8,,,,0.6,,,,,,,,,,,,,,"Canakci, 2005"
Soybean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.34,,,,,,,,,,,,,,,"Canakci, 2005"
Soybean,,,,,,,,,,,,,,,,,,,,,<.1,0.43,,,0.01,0.44,0.02,,,,66,,,,,,,,,,,,,,"Canakci, 2005"
Soybean,,,,,,,,,,,,,,,,,,,,,<.1,0.41,,,<.10,0.41,0.01,,,,7.3,,,,,,,,,,,,,,"Canakci, 2005"
Tallow ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47-63,,,,,,,,,,,,,,,"Canakci, 2005"
Yellow Grease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.63,,,,,,,,,,,,,,,"Canakci, 2005"
Palm Oil,,38.23,.9102 @ 20,,,36.543,39.047,42,,6,14,,344,,,,,0.003,,,,,,0,,,,,,,,15,,,,,,,,,,,,12.987,"de Almeida, 2002"
Cottonseed,,33.7,,,,,39.44,33.7,,,,235,,,,,0.25,0.02,,,,,,,,,,,113.2,,,,,,,178.59,,,,0.01,,,,,"Demirbas, 1998"
Crambe,,53.2,,,,,40.62,,,,,274,,,,,0.23,0.04,,,,,,,,,,,99.83,,,,,,,178.59,,,,0.01,,,,,"Demirbas, 1998"
Linseed,,28,,,,,39.33,,,,,240,,,,,0.24,0.01,,,,,,,,,,,156.74,,,,,,,188.71,,,,0.01,,,,,"Demirbas, 1998"
Safflower,,31.6,,,,,39.52,42,,,,260,,,,,0.26,0.007,,,,,,,,,,,139.83,,,,,,,190.23,,,,0.01,,,,,"Demirbas, 1998"
Walnut,,36.8,,,,,39.56,33.6,,,,232,,,,,0.24,0.02,,,,,,,,,,,135.24,,,,,,,190.82,,,,0.02,,,,,"Demirbas, 1998"
